Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
Business Analyst,"Stakeholder Management, Tableau, Excel",7.3,BBA in Business Analytics,Certified Business Analysis Professional,6.5,45.25,credible,Indeed
Embedded Software Engineer,"C++, RTOS, IoT",9.6,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.01,63.08,credible,Indeed
Business Analyst,"Tableau, SQL, Excel",1.2,BBA in Business Analytics,Certified Business Analysis Professional,8.97,49.76,credible,Indeed
Frontend Developer,"Angular, CSS, React",9.6,BS in Web Development,NA,7.75,46.0,credible,Glassdoor
Cloud Engineer,"Terraform, DevOps, AWS",4.2,B.Tech in Computer Science,Azure Fundamentals,7.65,46.7,credible,Indeed
Cybersecurity Analyst,"Network Security, Ethical Hacking, SOC",6.3,BS in Cybersecurity,CEH,7.66,52.03,credible,Company Website
AI/ML Engineer,"PyTorch, Computer Vision, Reinforcement Learning",5.8,PhD in AI,Google Professional ML Engineer,6.71,43.18,credible,Glassdoor
System Administrator,"Windows Server, Bash Scripting, Networking",0.0,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.48,34.84,credible,Glassdoor
AI/ML Engineer,"TensorFlow, Computer Vision, NLP",8.6,MS in Deep Learning,Deep Learning Specialization,6.93,51.94,credible,Indeed
System Administrator,"Networking, Firewall, Linux",3.6,MS in Systems Engineering,Microsoft Certified Solutions Expert,6.97,39.76,credible,Company Website
Embedded Software Engineer,"RTOS, C++, C",4.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,6.2,35.85,credible,Company Website
Software Engineer,"C++, Python, Algorithms",3.2,BS in Software Engineering,NA,9.31,42.48,credible,Company Website
Data Scientist,"Statistics, Deep Learning, Python",6.4,PhD in Machine Learning,TensorFlow Developer,5.42,34.36,credible,Indeed
DevOps Engineer,"CI/CD, Kubernetes, AWS",6.0,B.Tech in Information Technology,Docker Certified Associate,8.5,58.0,credible,Indeed
Full Stack Developer,"MongoDB, Express, React",7.6,MS in Full Stack Development,NA,6.08,27.64,credible,LinkedIn
Cloud Engineer,"Azure, DevOps, AWS",5.6,MS in Cloud Computing,AWS Solutions Architect,6.36,39.88,credible,Glassdoor
Embedded Software Engineer,"IoT, C++, RTOS",5.5,MS in IoT,ARM Certified Embedded Developer,8.27,54.91,credible,Indeed
Product Manager,"Agile, Scrum, Roadmap Planning",1.7,BBA in Product Management,Certified Scrum Product Owner,7.28,37.49,credible,Company Website
Backend Developer,"Node.js, Spring Boot, Flask",5.8,B.Tech in Software Engineering,NA,7.61,35.38,credible,Company Website
Database Administrator,"MySQL, PostgreSQL, MongoDB",9.6,MS in Data Engineering,AWS Database Specialty,5.7,44.6,credible,Indeed
Cloud Engineer,"DevOps, Terraform, Azure",5.3,B.Tech in Computer Science,Azure Fundamentals,8.1,53.05,credible,LinkedIn
Full Stack Developer,"MongoDB, Node.js, Django",4.8,B.Tech in Computer Applications,NA,6.98,27.84,credible,Indeed
Business Analyst,"Excel, Stakeholder Management, SQL",7.9,BBA in Business Analytics,Certified Business Analysis Professional,9.16,68.03,credible,Company Website
Database Administrator,"MongoDB, MySQL, Database Optimization",5.2,MS in Data Engineering,AWS Database Specialty,7.31,46.48,credible,Indeed
Software Engineer,"C++, Python, Algorithms",3.6,B.Tech in Computer Science,NA,7.74,30.92,credible,Indeed
Product Manager,"Agile, Scrum, User Research",3.4,BBA in Product Management,Certified Scrum Product Owner,7.97,47.26,credible,Indeed
Database Administrator,"MongoDB, SQL, PostgreSQL",6.0,MS in Data Engineering,Oracle Certified DBA,8.39,57.12,credible,LinkedIn
Data Scientist,"Statistics, Python, Machine Learning",4.5,PhD in Machine Learning,TensorFlow Developer,7.93,49.69,credible,Indeed
Backend Developer,"GraphQL, Spring Boot, Node.js",5.8,M.Tech in Software Systems,NA,5.89,21.62,credible,Company Website
Software Engineer,"Python, Algorithms, C++",4.3,M.Tech in Computer Science,NA,5.89,17.87,credible,Indeed
Product Manager,"Roadmap Planning, Scrum, User Research",3.4,BBA in Product Management,Certified Scrum Product Owner,7.02,39.66,credible,LinkedIn
Software Engineer,"Java, Python, Algorithms",0.7,BS in Software Engineering,NA,7.65,22.95,credible,Glassdoor
Embedded Software Engineer,"C, Microcontrollers, IoT",7.8,MS in IoT,ARM Certified Embedded Developer,6.96,50.18,credible,Indeed
Embedded Software Engineer,"C++, C, RTOS",4.8,MS in IoT,ARM Certified Embedded Developer,10.0,67.0,credible,LinkedIn
Embedded Software Engineer,"IoT, RTOS, C++",4.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.54,46.57,credible,Indeed
Embedded Software Engineer,"RTOS, C, Microcontrollers",2.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.88,52.29,credible,Glassdoor
Database Administrator,"SQL, Database Optimization, PostgreSQL",3.2,MS in Data Engineering,AWS Database Specialty,6.78,37.24,credible,LinkedIn
QA Engineer,"Bug Tracking, JUnit, JIRA",1.7,B.Tech in Computer Science,Certified Selenium Tester,5.81,25.73,credible,Company Website
Business Analyst,"Excel, Data Analysis, Stakeholder Management",7.3,MBA in Data Analytics,Certified Business Analysis Professional,6.75,47.25,credible,LinkedIn
Product Manager,"Scrum, Agile, User Research",1.4,BBA in Product Management,Certified Scrum Product Owner,7.45,38.1,credible,Company Website
Backend Developer,"Node.js, Django, Flask",1.7,B.Tech in Software Engineering,NA,8.06,28.73,credible,Glassdoor
Product Manager,"Roadmap Planning, Scrum, JIRA",5.5,MBA in Technology Management,Certified Scrum Product Owner,9.32,63.31,credible,Company Website
Cloud Engineer,"Terraform, Azure, AWS",4.7,MS in Cloud Computing,Azure Fundamentals,9.51,62.83,credible,Company Website
Frontend Developer,"Vue.js, Angular, CSS",9.4,BS in Web Development,NA,8.02,47.66,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, SIEM, Penetration Testing",0.5,BS in Cybersecurity,CEH,7.06,32.73,credible,Glassdoor
Data Scientist,"Machine Learning, Deep Learning, R",8.9,MS in Artificial Intelligence,AWS Machine Learning,8.37,64.21,credible,Indeed
DevOps Engineer,"Docker, AWS, CI/CD",0.0,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.96,30.68,credible,Company Website
Cloud Engineer,"DevOps, Terraform, AWS",1.1,B.Tech in Computer Science,Azure Fundamentals,10.0,57.75,credible,LinkedIn
Frontend Developer,"CSS, JavaScript, Vue.js",1.8,BS in Web Development,NA,9.64,41.62,credible,Indeed
System Administrator,"Windows Server, Firewall, Linux",11.3,MS in Systems Engineering,Red Hat Certified Engineer,6.22,53.01,credible,LinkedIn
Embedded Software Engineer,"IoT, C++, RTOS",11.4,MS in IoT,ARM Certified Embedded Developer,6.62,56.46,credible,Indeed
Software Engineer,"Algorithms, C++, Data Structures",6.8,B.Tech in Computer Science,NA,7.1,33.8,credible,Indeed
Backend Developer,"Django, Flask, Node.js",9.1,B.Tech in Software Engineering,NA,6.81,37.23,credible,Glassdoor
QA Engineer,"JIRA, Test Automation, Selenium",10.4,MS in Software Testing,ISTQB,6.78,55.24,credible,LinkedIn
Cloud Engineer,"Google Cloud, DevOps, Azure",5.7,MS in Cloud Computing,Azure Fundamentals,7.83,51.89,credible,LinkedIn
Cybersecurity Analyst,"SIEM, Penetration Testing, SOC",6.0,BS in Cybersecurity,CEH,7.03,46.24,credible,Glassdoor
Embedded Software Engineer,"RTOS, Microcontrollers, IoT",6.6,MS in IoT,ARM Certified Embedded Developer,6.42,42.86,credible,Glassdoor
Frontend Developer,"Angular, CSS, JavaScript",10.4,MS in UI/UX Design,NA,7.02,42.16,credible,LinkedIn
Frontend Developer,"JavaScript, CSS, Angular",1.0,MS in UI/UX Design,NA,6.9,17.7,credible,LinkedIn
Embedded Software Engineer,"C++, IoT, C",4.0,B.Tech in Embedded Systems,ARM Certified Embedded Developer,9.43,60.44,credible,Glassdoor
System Administrator,"Bash Scripting, Windows Server, Firewall",4.4,MS in Systems Engineering,Red Hat Certified Engineer,10.0,66.0,credible,Company Website
Database Administrator,"MySQL, MongoDB, PostgreSQL",10.5,MS in Data Engineering,Oracle Certified DBA,7.79,63.57,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, JIRA",4.4,MBA in Technology Management,Certified Scrum Product Owner,7.76,48.08,credible,LinkedIn
Backend Developer,"Django, GraphQL, Flask",8.6,B.Tech in Software Engineering,NA,6.86,36.38,credible,LinkedIn
Product Manager,"Agile, Roadmap Planning, JIRA",9.3,MBA in Technology Management,Certified Scrum Product Owner,7.95,61.85,credible,Company Website
Cybersecurity Analyst,"Penetration Testing, Ethical Hacking, SIEM",4.8,BS in Cybersecurity,CompTIA Security+,9.17,60.36,credible,Company Website
Product Manager,"Roadmap Planning, Scrum, User Research",1.9,BBA in Product Management,Certified Scrum Product Owner,8.07,44.31,credible,Glassdoor
Product Manager,"Scrum, JIRA, User Research",3.3,BBA in Product Management,Certified Scrum Product Owner,7.38,42.29,credible,Company Website
Database Administrator,"Database Optimization, PostgreSQL, MySQL",0.0,MS in Data Engineering,Oracle Certified DBA,8.45,42.6,credible,Company Website
System Administrator,"Linux, Networking, Firewall",7.6,BS in IT Administration,Red Hat Certified Engineer,9.62,70.96,credible,Company Website
