Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
Business Analyst,"Stakeholder Management, Tableau, Excel",7.3,BBA in Business Analytics,Certified Business Analysis Professional,6.5,10.42,credible,Indeed
Embedded Software Engineer,"C++, RTOS, IoT",9.6,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.01,15.87,credible,Indeed
Business Analyst,"Tableau, SQL, Excel",1.2,BBA in Business Analytics,Certified Business Analysis Professional,8.97,15.39,credible,Indeed
Frontend Developer,"Angular, CSS, React",9.6,BS in Web Development,NA,7.75,12.09,credible,Glassdoor
Cloud Engineer,"Terraform, DevOps, AWS",4.2,B.Tech in Computer Science,Azure Fundamentals,7.65,12.63,credible,Indeed
Cybersecurity Analyst,"Network Security, Ethical Hacking, SOC",6.3,BS in Cybersecurity,CEH,7.66,13.5,credible,Company Website
AI/ML Engineer,"PyTorch, Computer Vision, Reinforcement Learning",5.8,PhD in AI,Google Professional ML Engineer,6.71,10.45,credible,Glassdoor
System Administrator,"Windows Server, Bash Scripting, Networking",0.0,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.48,10.44,credible,Glassdoor
AI/ML Engineer,"TensorFlow, Computer Vision, NLP",8.6,MS in Deep Learning,Deep Learning Specialization,6.93,12.23,credible,Indeed
System Administrator,"Networking, Firewall, Linux",3.6,MS in Systems Engineering,Microsoft Certified Solutions Expert,6.97,10.35,credible,Company Website
Embedded Software Engineer,"RTOS, C++, C",4.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,6.2,8.4,credible,Company Website
Software Engineer,"C++, Python, Algorithms",3.2,BS in Software Engineering,NA,9.31,14.21,credible,Company Website
Data Scientist,"Statistics, Deep Learning, Python",6.4,PhD in Machine Learning,TensorFlow Developer,5.42,6.82,credible,Indeed
DevOps Engineer,"CI/CD, Kubernetes, AWS",6.0,B.Tech in Information Technology,Docker Certified Associate,8.5,15.9,credible,Indeed
Full Stack Developer,"MongoDB, Express, React",7.6,MS in Full Stack Development,NA,6.08,6.28,credible,LinkedIn
Cloud Engineer,"Azure, DevOps, AWS",5.6,MS in Cloud Computing,AWS Solutions Architect,6.36,9.32,credible,Glassdoor
Embedded Software Engineer,"IoT, C++, RTOS",5.5,MS in IoT,ARM Certified Embedded Developer,8.27,15.01,credible,Indeed
Product Manager,"Agile, Scrum, Roadmap Planning",1.7,BBA in Product Management,Certified Scrum Product Owner,7.28,10.52,credible,Company Website
Backend Developer,"Node.js, Spring Boot, Flask",5.8,B.Tech in Software Engineering,NA,7.61,10.15,credible,Company Website
Database Administrator,"MySQL, PostgreSQL, MongoDB",9.6,MS in Data Engineering,AWS Database Specialty,5.7,8.94,credible,Indeed
Cloud Engineer,"DevOps, Terraform, Azure",5.3,B.Tech in Computer Science,Azure Fundamentals,8.1,14.42,credible,LinkedIn
Full Stack Developer,"MongoDB, Node.js, Django",4.8,B.Tech in Computer Applications,NA,6.98,7.86,credible,Indeed
